step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2
55,[35.47449  68.774605  1.417675],20.0000,6.0000,[55.08665   19.68233    0.9479312],20.0000,6.0000,[ 32.771683   -24.143084     0.17700595],20.0000,0.0000,[ 71.52995  -40.97666    6.039416],20.0000,4.0000,[71.52133   41.255245   0.3366365],20.0000,4.0000
56,[35.690277 69.84578   1.618287],20.0000,0.0000,[55.755997  20.545504   0.9969796],20.0000,6.0000,[ 33.83024  -23.86176    6.190483],20.0000,6.0000,[ 72.09848   -41.08865     6.0440574],20.0000,4.0000,[72.08411   41.399223   0.3657746],20.0000,4.0000
57,[35.715046  70.93974    1.3138564],20.0000,6.0000,[56.39297  21.43351   1.195052],20.0000,0.0000,[ 3.4929340e+01 -2.3831173e+01  2.0876603e-02],20.0000,0.0000,[ 72.6669   -41.20054    6.048036],20.0000,4.0000,[72.643005  41.558086   0.3710625],20.0000,4.0000
58,[35.996883  71.99429    1.3856794],20.0000,6.0000,[56.86672   22.420038   0.8892094],20.0000,6.0000,[ 36.018642  -23.711935    6.0154905],20.0000,6.0000,[ 73.23524   -41.31235     6.0514293],20.0000,4.0000,[73.19983    41.72306     0.36695877],20.0000,4.0000
59,[36.22224   73.062614   1.5957675],20.0000,0.0000,[57.55893   23.264057   0.9599857],20.0000,6.0000,[ 37.108715 -23.864315   6.126488],20.0000,0.0000,[ 73.803505  -41.424126    6.0543337],20.0000,4.0000,[73.75562    41.890194    0.35991204],20.0000,4.0000
60,[36.251648  74.15524    1.2982727],20.0000,6.0000,[58.206104  24.14344    1.1696504],20.0000,6.0000,[ 38.202976  -23.932858    5.8420534],20.0000,6.0000,[ 74.37171   -41.535904    6.0568376],20.0000,4.0000,[74.31091    42.057816    0.35264453],20.0000,4.0000
61,[36.536083  75.20913    1.3779103],20.0000,6.0000,[58.701622  25.11895    1.4224714],20.0000,0.0000,[ 39.252056  -24.267551    5.9567566],20.0000,0.0000,[ 74.939865 -41.64771    6.059014],20.0000,4.0000,[74.86596    42.225327    0.34612793],20.0000,4.0000
62,[36.757816  76.278      1.5913751],20.0000,6.0000,[58.971886  26.182238   1.1260828],20.0000,6.0000,[ 40.31955  -24.518377   5.675846],20.0000,6.0000,[ 75.50796  -41.759567   6.060921],20.0000,4.0000,[75.420876   42.39258     0.34057656],20.0000,4.0000
63,[36.799355  77.37064    1.8465835],20.0000,0.0000,[59.469982  27.15403    1.1864648],20.0000,6.0000,[ 41.299    -25.021738   5.792141],20.0000,6.0000,[ 76.07601  -41.87149    6.062605],20.0000,4.0000,[75.97571    42.559593    0.33592275],20.0000,4.0000
64,[36.599857  78.44861    1.5540915],20.0000,0.0000,[59.923416  28.14809    1.3899935],20.0000,0.0000,[ 42.302486 -25.45995    6.06254 ],20.0000,0.0000,[ 76.64402   -41.983486    6.0641017],20.0000,4.0000,[76.530464   42.72644     0.33202145],20.0000,4.0000
65,[36.62669   79.53986    1.0688008],20.0000,0.0000,[60.193893  29.208288   1.0868876],20.0000,6.0000,[ 43.373474 -25.672556   5.801891],20.0000,6.0000,[ 77.21198   -42.095566    6.0654397],20.0000,4.0000,[77.08515    42.893185    0.32872742],20.0000,4.0000
66,[37.046234   80.554756    0.56750995],20.0000,0.0000,[60.70524 30.17267  1.15947],20.0000,6.0000,[ 44.376488 -26.109955   5.902065],20.0000,6.0000,[ 77.77991  -42.20773    6.066643],20.0000,4.0000,[77.639786   43.059887    0.32591873],20.0000,4.0000
67,[37.840897   81.33881     0.09557569],20.0000,0.0000,[61.16404   31.163418   1.3698529],20.0000,6.0000,[ 45.40499  -26.477858   6.135683],20.0000,0.0000,[ 78.3478  -42.31998   6.06773],20.0000,4.0000,[78.19435    43.226585    0.32349914],20.0000,4.0000
68,[38.89978   81.73179    5.9907866],20.0000,0.0000,[61.45458   32.218204   1.6230499],20.0000,6.0000,[ 46.484512  -26.639496    5.8517118],20.0000,6.0000,[ 78.915665  -42.43232     6.0687165],20.0000,4.0000,[78.74886    43.39331     0.32139456],20.0000,4.0000
69,[40.02803  81.69295   5.675295],20.0000,6.0000,[61.524586  33.31491    1.8776556],20.0000,6.0000,[ 47.499355  -27.045317    5.9436407],20.0000,6.0000,[ 79.4835    -42.544746    6.0696144],20.0000,4.0000,[79.30332    43.560085    0.31954795],20.0000,4.0000
70,[41.067158  81.27523    5.9238734],20.0000,0.0000,[61.35404   34.40591    2.1110916],20.0000,6.0000,[ 48.53719   -27.384518    6.1685185],20.0000,6.0000,[ 80.0513   -42.657257   6.070435],20.0000,4.0000,[79.85773   43.72692    0.3179152],20.0000,4.0000
71,[42.133533 81.00996   5.768985],20.0000,6.0000,[60.95312   35.438293   2.3156576],20.0000,6.0000,[ 49.61809    -27.53965      0.14683121],20.0000,0.0000,[ 80.61907  -42.76986    6.071188],20.0000,4.0000,[80.41208    43.89383     0.31646177],20.0000,4.0000
72,[43.14857  80.58751   5.931282],20.0000,0.0000,[60.35431  36.370903  2.49799 ],20.0000,6.0000,[ 50.708733  -27.453207    6.1460786],20.0000,6.0000,[ 81.18682 -42.88254   6.07188],20.0000,4.0000,[80.966385   44.060818    0.31516027],20.0000,4.0000
73,[44.202484 80.29093   5.658712],20.0000,6.0000,[59.59477   37.1774     2.6702743],20.0000,0.0000,[ 51.788982 -27.610075   6.224072],20.0000,6.0000,[ 81.75455  -42.995304   6.072518],20.0000,4.0000,[81.520645  44.22789    0.3139887],20.0000,4.0000
